headline	lead_paragraph	web_url
Review: David Byrne and Color Guard Blend Dance, Music and Athleticism	This program featured collaborations between color guard teams and recording artists like Nelly Furtado.	http://www.nytimes.com/2015/06/29/arts/dance/review-david-byrne-and-color-guard-blend-dance-music-and-athleticism.html
Marc Maron, at BAM, Finds That Happy Also Gets Laughs	The comic is known for being gloomy, but after a week that included an interview with President Obama, Mr. Maron was noticeably upbeat.	http://www.nytimes.com/2015/06/29/arts/marc-maron-brooklyn-academy-of-music-performance.html
The Art of Doing Time: Prisoner, Painter, Escapee  	Richard Matt&#8217;s portraits at the Clinton prison were part of a commonplace ritual of life behind bars, experts and former inmates say.	http://www.nytimes.com/2015/06/29/arts/richard-matt-dannemora-escapee-known-for-his-paintings.html
Merritt Wever on the &#8216;Nurse Jackie&#8217; Series Finale and Zoey&#8217;s Final Line		http://artsbeat.blogs.nytimes.com/2015/06/28/nurse-jackie-finale-interview-merritt-wever/
&#8216;True Detective&#8217; Recap: Big Blasts and Diminished Men		http://artsbeat.blogs.nytimes.com/2015/06/28/true-detective-recap-season-2-episode-2/
&#8216;Poldark&#8217; Episode 2 Recap: Triumph v. Torment		http://artsbeat.blogs.nytimes.com/2015/06/28/poldark-episode-2-recap/
Joni Mitchell Rep Says She Had Aneurysm, but Recovering Well	Joni Mitchell's friend and conservator says it was an aneurysm that sent the folk singer to the hospital in March.	http://www.nytimes.com/aponline/2015/06/28/arts/ap-us-people-joni-mitchell.html
Joni Mitchell Suffered Aneurysm, but Can Speak, Conservator Says		http://artsbeat.blogs.nytimes.com/2015/06/28/joni-mitchell-suffered-aneurysm-but-can-speak-conservator-says/
Lionel Ritchie Makes Legend Spot His Own at Glastonbury	"Lionel Ritchie led a 100,000-strong karaoke session on Sunday as Glastonbury festival-goers sang along to a string of hits including ""Easy Like Sunday Morning"" and ""Dancing on the Ceiling""."	http://www.nytimes.com/reuters/2015/06/28/arts/28reuters-music-glastonbury-day3.html
Chris Squire, Bassist of Progressive Rock Band Yes, Dies	Chris Squire, the bassist and co-founder of the progressive rock band Yes who recently announced he had leukemia, has died, according to a statement from his band members on Sunday. He was 67.	http://www.nytimes.com/aponline/2015/06/28/arts/ap-us-obit-chris-squire.html
&#8216;Ted 2&#8217; Disappoints at Box Office, but &#8216;Jurassic World&#8217; Still Roars		http://artsbeat.blogs.nytimes.com/2015/06/28/at-box-office-ted-2-disappoints-but-jurassic-word-still-roars/
